Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.11      0.03     0.03  5703727     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_S_key(std::_Rb_tree_node<std::pair<char const, int> > const*)
  8.11      0.06     0.03       17     1.77     4.38  serial::huffmanDecoder(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, serial::MinHNode*)
  5.41      0.08     0.02 13518781     0.00     0.00  std::less<char>::operator()(char const&, char const&) const
  5.41      0.10     0.02  6643879     0.00     0.00  bool __gnu_cxx::operator!=<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  5.41      0.12     0.02  6643828     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  5.41      0.14     0.02  5719240     0.00     0.00  std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator()(std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) const
  5.41      0.16     0.02  5703727     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, int> >::_M_addr() const
  5.41      0.18     0.02  2773587     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_S_left(std::_Rb_tree_node_base*)
  4.06      0.20     0.02 13287758     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  2.70      0.21     0.01  6643828     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
